text,topic,sentiment_label,sentiment_score,sentence,hate_label,hate_score,sequence,labels,scores,Top 3
e besonderer sprachförderbedarf feststellen verpflichtend qualitativ wirksam durchgehend sprachförderung kindertagesstätte vorschule erteilen,Bildung,neutral,0.7880309224128723,"e Dort, wo ein besonderer Sprachförderbedarf festgestellt wird, muss eine verpflichtende, qualitativ wirksame und durchgehende Sprachförderung in einer Kindertagesstätte oder Vorschule erteilt werden",neutral,0.916532337665558,"e Dort, wo ein besonderer Sprachförderbedarf festgestellt wird, muss eine verpflichtende, qualitativ wirksame und durchgehende Sprachförderung in einer Kindertagesstätte oder Vorschule erteilt werden",gesundheit,0.3379838466644287,"[('gesundheit', 0.3379838466644287), ('bildung', 0.2631058096885681), ('infrastruktur', 0.12869836390018463)]"
notwendig transformation begleiten bedeutung projektarbeit stärken prozessbegleitend beratung weiterbildung fördern rechtsfra- gen klären,Bildung,neutral,0.6838392615318298,"Die notwendige Transformation wollen wir begleiten, um die Bedeutung der Projektarbeit zu stärken, prozessbegleitende Beratung und Weiterbildung zu fördern und Rechtsfra- gen zu klären",neutral,0.992514669895172,"Die notwendige Transformation wollen wir begleiten, um die Bedeutung der Projektarbeit zu stärken, prozessbegleitende Beratung und Weiterbildung zu fördern und Rechtsfra- gen zu klären",gesundheit,0.266405701637268,"[('gesundheit', 0.26640570163726807), ('bildung', 0.19786570966243744), ('none', 0.1024232730269432)]"
aufstieg bildung   jeder kind individuell lebenschance nutzen zukunftsverspre chen aufstieg bildung bestand beitrag leisten fürsorglich unterstützend eltern engagiert erzieherinne lehrkraft ermutigend in- spirierend ausbilder professor,Bildung,neutral,0.6617191433906555,"Aufstieg durch Bildung  Damit jedes Kind seine individuellen Lebenschancen nutzen kann und das Zukunftsverspre- chen Aufstieg durch Bildung Bestand hat, müssen alle ihren Beitrag leisten: fürsorgliche und unterstützende Eltern, engagierte Erzieherinnen und Lehrkräfte, ermutigende und in- spirierende Ausbilder und Professoren",neutral,0.8854617476463318,"Aufstieg durch Bildung  Damit jedes Kind seine individuellen Lebenschancen nutzen kann und das Zukunftsverspre- chen Aufstieg durch Bildung Bestand hat, müssen alle ihren Beitrag leisten: fürsorgliche und unterstützende Eltern, engagierte Erzieherinnen und Lehrkräfte, ermutigende und in- spirierende Ausbilder und Professoren",bildung,0.5802640914916992,"[('bildung', 0.5802640914916992), ('gesundheit', 0.10250402241945267), ('klima', 0.08041896671056747)]"
investieren früh bildung ferienfreizeit familienerholung zusätzlich sozialarbeit,Gesundheit,neutral,0.7412161827087402,"Die Mittel investieren wir in frühe Bildung, Ferienfreizeiten, Familienerholung und zusätzliche Sozialarbeit",neutral,0.9809768795967102,"Die Mittel investieren wir in frühe Bildung, Ferienfreizeiten, Familienerholung und zusätzliche Sozialarbeit",bildung,0.4336075484752655,"[('bildung', 0.4336075484752655), ('wirtschaft', 0.2062818557024002), ('soziale ursachen', 0.12233299762010574)]"
chance digitalisierung künstlichen intelligenz nutzen,Gesundheit,positiv,0.5197040438652039,Dabei wollen wir die Chancen der Digitalisierung und der Künstlichen Intelligenz noch besser nutzen,neutral,0.991134762763977,Dabei wollen wir die Chancen der Digitalisierung und der Künstlichen Intelligenz noch besser nutzen,bildung,0.3039723932743072,"[('bildung', 0.30397239327430725), ('gesundheit', 0.18927891552448273), ('soziale ursachen', 0.11201110482215881)]"
versiegelung reduzieren entsiegelung nachnutzung versiegelt fläche vorantreiben,Gesundheit,neutral,0.6624161005020142,Wir werden die Versiegelung weiter reduzieren und die Entsiegelung und die Nachnutzung von bereits versiegelten Flächen vorantreiben,neutral,0.97514545917511,Wir werden die Versiegelung weiter reduzieren und die Entsiegelung und die Nachnutzung von bereits versiegelten Flächen vorantreiben,bildung,0.2834542691707611,"[('bildung', 0.2834542691707611), ('gesundheit', 0.20341303944587708), ('wirtschaft', 0.13377951085567474)]"
mensch bahn fahrrad umsteigen weiterhin land gut straße auto bus unterwegs,Infrastruktur,neutral,0.7240582704544067,"Immer mehr Menschen wollen auf die Bahn oder das Fahrrad umsteigen, aber auch weiterhin - gerade auf dem Land - auf guten Straßen mit dem Auto oder dem Bus unterwegs sein können",neutral,0.978721797466278,"Immer mehr Menschen wollen auf die Bahn oder das Fahrrad umsteigen, aber auch weiterhin - gerade auf dem Land - auf guten Straßen mit dem Auto oder dem Bus unterwegs sein können",infrastruktur,0.3036670982837677,"[('infrastruktur', 0.3036670982837677), ('gesundheit', 0.18935617804527283), ('bildung', 0.18434475362300873)]"
gesamt bürgerlich vertragsrecht insbesondere elektro- nisch rechtsverkehr modernisieren,Infrastruktur,neutral,0.8177884221076965,"Deshalb werden wir das gesamte bürgerliche Vertragsrecht, insbesondere den elektro- nischen Rechtsverkehr, modernisieren",neutral,0.9857903718948364,"Deshalb werden wir das gesamte bürgerliche Vertragsrecht, insbesondere den elektro- nischen Rechtsverkehr, modernisieren",bildung,0.2802976667881012,"[('bildung', 0.2802976667881012), ('gesundheit', 0.2591266632080078), ('politik und ideologie', 0.11143674701452255)]"
rechtsanspruch bürgerin bürger digital bürgeridentität e-id schaffen,Infrastruktur,neutral,0.8090866804122925,Wir werden einen Rechtsanspruch der Bürgerinnen und Bürger auf eine digitale Bürgeridentität (e-ID) schaffen,neutral,0.9736136794090272,Wir werden einen Rechtsanspruch der Bürgerinnen und Bürger auf eine digitale Bürgeridentität (e-ID) schaffen,bildung,0.3676055073738098,"[('bildung', 0.3676055073738098), ('gesundheit', 0.23310481011867523), ('wissenschaft', 0.08716531842947006)]"
gehören energiegewinnung sonne wind genauso nachhaltig biomaß wasserkraft geothermie ländlich raum,Klima,neutral,0.8574297428131104,"Dazu gehört die Energiegewinnung aus Sonne und Wind genauso wie nachhaltige Biomasse, Wasserkraft und Geothermie im ländlichen Raum",neutral,0.9818465113639832,"Dazu gehört die Energiegewinnung aus Sonne und Wind genauso wie nachhaltige Biomasse, Wasserkraft und Geothermie im ländlichen Raum",wirtschaft,0.2788100242614746,"[('wirtschaft', 0.2788100242614746), ('bildung', 0.22325296700000763), ('gesundheit', 0.21511194109916687)]"
  transformation notwendig technologie existieren,Klima,neutral,0.749870240688324,machen  Viele der für die Transformation notwendigen Technologien existieren bereits,neutral,0.9534558057785034,machen  Viele der für die Transformation notwendigen Technologien existieren bereits,bildung,0.4229326248168945,"[('bildung', 0.42293262481689453), ('gesundheit', 0.22892361879348755), ('soziale ursachen', 0.09297605603933334)]"
strategie green deal ei- n folgenabschätzung maßnahme begleitung übergang verbinden,Klima,neutral,0.8147689700126648,Deshalb müssen alle Strategien des Green Deals mit ei- ner Folgenabschätzung und mit Maßnahmen zur Begleitung des Übergangs verbunden werden,neutral,0.9939510822296144,Deshalb müssen alle Strategien des Green Deals mit ei- ner Folgenabschätzung und mit Maßnahmen zur Begleitung des Übergangs verbunden werden,bildung,0.296654462814331,"[('bildung', 0.29665446281433105), ('politik und ideologie', 0.20832069218158722), ('gesundheit', 0.1359473168849945)]"
pande miebedingen kind erwachsene sport schmerzlich vermissen sportver sportstättenbetreiber stark beuteln,Politik und Ideologie,negativ,0.8482049703598022,"Pande- miebedingt haben viele Kinder und Erwachsene ihren Sport schmerzlich vermisst, Sportver- eine und Sportstättenbetreiber wurden stark gebeutelt",neutral,0.7543516159057617,"Pande- miebedingt haben viele Kinder und Erwachsene ihren Sport schmerzlich vermisst, Sportver- eine und Sportstättenbetreiber wurden stark gebeutelt",gesundheit,0.3977568745613098,"[('gesundheit', 0.3977568745613098), ('bildung', 0.2571335434913635), ('klima', 0.11752750724554062)]"
leistungsfähigkeit modern staat bürgerin bürger   unions-versprechen verlässlich leistungsfähig staat sorgen verwaltung einfach nutzerfreundlich,Politik und Ideologie,neutral,0.5269047021865845,"Neue Leistungsfähigkeit für einen modernen Staat - zum Wohl der Bürgerinnen und Bürger  Unser Unions-Versprechen: Wir werden für einen verlässlichen, leistungsfähigen Staat sorgen und die Verwaltung einfacher und nutzerfreundlicher machen",neutral,0.9908612966537476,"Neue Leistungsfähigkeit für einen modernen Staat - zum Wohl der Bürgerinnen und Bürger  Unser Unions-Versprechen: Wir werden für einen verlässlichen, leistungsfähigen Staat sorgen und die Verwaltung einfacher und nutzerfreundlicher machen",bildung,0.3720587790012359,"[('bildung', 0.37205877900123596), ('wissenschaft', 0.1208602786064148), ('klima', 0.1114846020936966)]"
sauber fahrzeug leistungsfähig infrastruktur in vestier ladestation binnenschiff hafen landverstromung,Politik und Ideologie,neutral,0.796466052532196,"Dazu werden wir in saubere Fahrzeuge und leistungsfähige Infrastruktur in- vestieren, auch in neue Ladestationen für Binnenschiffe in Häfen (Landverstromung)",neutral,0.9752752780914308,"Dazu werden wir in saubere Fahrzeuge und leistungsfähige Infrastruktur in- vestieren, auch in neue Ladestationen für Binnenschiffe in Häfen (Landverstromung)",infrastruktur,0.6877708435058594,"[('infrastruktur', 0.6877708435058594), ('gesundheit', 0.07699381560087204), ('bildung', 0.07087955623865128)]"
e beginnen behörde forschungseinrichtung dezentralisie- ren osten deutschland ansiedeln,Wissenschaft,neutral,0.7501811385154724,"e Wir haben bereits begonnen, Behörden und Forschungseinrichtungen zu dezentralisie- ren und vor allem im Osten Deutschlands anzusiedeln",neutral,0.9831721782684326,"e Wir haben bereits begonnen, Behörden und Forschungseinrichtungen zu dezentralisie- ren und vor allem im Osten Deutschlands anzusiedeln",bildung,0.3161104321479797,"[('bildung', 0.31611043214797974), ('gesundheit', 0.120616115629673), ('politik und ideologie', 0.11290264129638672)]"
attrakti ven angebot deutsch bahn maximal synergie güter perso nenverkehr unser schienensystem nutzen,Wissenschaft,positiv,0.4941997528076172,Mit einem attrakti- ven Angebot der Deutschen Bahn wollen wir maximale Synergien bei Güter- und Perso- nenverkehr in unserem Schienensystem nutzen,neutral,0.9862654805183412,Mit einem attrakti- ven Angebot der Deutschen Bahn wollen wir maximale Synergien bei Güter- und Perso- nenverkehr in unserem Schienensystem nutzen,bildung,0.2854368388652801,"[('bildung', 0.28543683886528015), ('gesundheit', 0.2373458743095398), ('soziale ursachen', 0.10822512209415436)]"
e wissenschaftskommunikation weiterbildungsangebot forschender bürgerwissenschaftlerin -wissenschaftler citizen sci- enc format stärken,Wissenschaft,neutral,0.7193930745124817,e Wir wollen die Wissenschaftskommunikation durch mehr Weiterbildungsangebote für Forschende ebenso wie Bürgerwissenschaftlerinnen und -wissenschaftler (Citizen Sci- ence Formate) stärken,neutral,0.9870507717132568,e Wir wollen die Wissenschaftskommunikation durch mehr Weiterbildungsangebote für Forschende ebenso wie Bürgerwissenschaftlerinnen und -wissenschaftler (Citizen Sci- ence Formate) stärken,wissenschaft,0.611343264579773,"[('wissenschaft', 0.611343264579773), ('bildung', 0.19337530434131622), ('gesundheit', 0.0638476088643074)]"
e gemeinsam agrarpolitik gap systemwechsel erfolgen ökologisch nachhaltigkeit,soziale Ursachen,neutral,0.786961555480957,e Mit der neuen Gemeinsamen Agrarpolitik (GAP) ist ein Systemwechsel erfolgt hin zu mehr ökologischer Nachhaltigkeit,neutral,0.9889468550682068,e Mit der neuen Gemeinsamen Agrarpolitik (GAP) ist ein Systemwechsel erfolgt hin zu mehr ökologischer Nachhaltigkeit,bildung,0.3516181111335754,"[('bildung', 0.35161811113357544), ('gesundheit', 0.22304555773735046), ('wissenschaft', 0.11423392593860626)]"
fairness sozial sicherheit gesellschaftlich   zusammenhalt,soziale Ursachen,neutral,0.6937429308891296,Neue Fairness und soziale Sicherheit - für den gesellschaftlichen  Zusammenhalt,neutral,0.9646376967430116,Neue Fairness und soziale Sicherheit - für den gesellschaftlichen  Zusammenhalt,bildung,0.3111279904842376,"[('bildung', 0.31112799048423767), ('soziale ursachen', 0.25141045451164246), ('gesundheit', 0.19221392273902893)]"
aussiedler spätaussiedler jüdisch kontingentflüchtlinge besser- stellen rentenrechtlich benachteiligung beseitigen,soziale Ursachen,negativ,0.705184817314148,Wir wollen Aussiedler und Spätaussiedler sowie jüdische Kontingentflüchtlinge besser- stellen und rentenrechtliche Benachteiligungen beseitigen,neutral,0.5945488810539246,Wir wollen Aussiedler und Spätaussiedler sowie jüdische Kontingentflüchtlinge besser- stellen und rentenrechtliche Benachteiligungen beseitigen,bildung,0.288096159696579,"[('bildung', 0.288096159696579), ('gesundheit', 0.18543221056461334), ('politik und ideologie', 0.11009090393781662)]"
sicher arbeit zukunft,wirtschaft,neutral,0.5952919721603394,Sichere Arbeit mit Zukunft,neutral,0.982113778591156,Sichere Arbeit mit Zukunft,gesundheit,0.309826135635376,"[('gesundheit', 0.309826135635376), ('wirtschaft', 0.24125108122825623), ('bildung', 0.1522057056427002)]"
versorgung al- len leistung daseinsvorsorge gut dienstleistung vor-ort-angebote digital möglichkeit anbindung zusammenbringen,wirtschaft,neutral,0.6342787742614746,"Eine gute Versorgung mit al- len Leistungen der Daseinsvorsorge, mit Gütern und Dienstleistungen ist möglich, wenn Vor-Ort-Angebote, digitale Möglichkeiten und eine gute Anbindung zusammengebracht werden",neutral,0.9749131202697754,"Eine gute Versorgung mit al- len Leistungen der Daseinsvorsorge, mit Gütern und Dienstleistungen ist möglich, wenn Vor-Ort-Angebote, digitale Möglichkeiten und eine gute Anbindung zusammengebracht werden",bildung,0.2528705894947052,"[('bildung', 0.2528705894947052), ('gesundheit', 0.20826192200183868), ('infrastruktur', 0.1420230269432068)]"
fördern transparenz mittlerer unternehmen startups nutzen,wirtschaft,positiv,0.5438392758369446,Das fördert Transparenz und kann vor allem kleinen und mittleren Unternehmen sowie Startups nutzen,neutral,0.990957736968994,Das fördert Transparenz und kann vor allem kleinen und mittleren Unternehmen sowie Startups nutzen,bildung,0.300294429063797,"[('bildung', 0.300294429063797), ('gesundheit', 0.21037878096103668), ('klima', 0.12153063714504242)]"
